scenario,geometry,run_id,beta_hat,deltaBIC_dbu_vs_null,deltaBIC_dbu_vs_nuis,eps_eff,phys_scale,temporal_tau
MZI_null,MZI,MZI_null_00198,-0.05036770489351923,3.0070645758681787,-1.7787740540908143,0.0,0.0,300
MZI_null,MZI,MZI_null_00199,-0.22547144296771593,-2.737229192257833,-1.8181707092430115,0.0,0.0,300
MZI_null,MZI,MZI_null_00200,-0.40453299644123575,-2.1628845995534367,-1.692803590626034,0.0,0.0,300
MZI_null,MZI,MZI_null_00201,0.10443095472201275,3.5468682848360356,2.379695088643272,0.0,0.0,300
MZI_null,MZI,MZI_null_00202,-0.04033330358322458,-5.3195777262250115,6.720079409749581,0.0,0.0,300
MZI_null,MZI,MZI_null_00203,0.008882765102173238,-1.9582121242611614,-1.07237526133001,0.0,0.0,300
MZI_null,MZI,MZI_null_00204,0.02971271411517824,-2.4330812357718274,-2.7209860206407086,0.0,0.0,300
MZI_null,MZI,MZI_null_00205,-0.08202884118605881,-2.098259810647995,-2.630274313401295,0.0,0.0,300
MZI_null,MZI,MZI_null_00206,-0.10692686740157466,-1.6807093169243095,-1.7649316522625658,0.0,0.0,300
MZI_null,MZI,MZI_null_00207,0.2255989482874033,-9.952909425179037,2.2745205557673853,0.0,0.0,300
MZI_null,MZI,MZI_null_00208,0.18691277887464436,-8.220170697224448,-2.0280627822410464,0.0,0.0,300
MZI_null,MZI,MZI_null_00209,-0.055716129899368715,-6.2225350841534635,-3.333450062772626,0.0,0.0,300
MZI_null,MZI,MZI_null_00210,-0.16658637681987432,3.2568113302708683,1.8070351794423836,0.0,0.0,300
MZI_null,MZI,MZI_null_00211,0.19073326424912382,0.16501619212970553,-4.387155313651688,0.0,0.0,300
MZI_null,MZI,MZI_null_00212,-0.07867803994196605,-0.5318763163162459,-4.666383426675836,0.0,0.0,300
MZI_null,MZI,MZI_null_00213,0.1069497645258582,-2.720976194474405,-2.1244624226487927,0.0,0.0,300
MZI_null,MZI,MZI_null_00214,0.10664399523052372,-0.6672100655418807,-2.08289849745724,0.0,0.0,300
MZI_null,MZI,MZI_null_00215,0.1738994705046372,-5.2431899827996915,0.8478068208327914,0.0,0.0,300
MZI_null,MZI,MZI_null_00216,0.08896518869525756,-2.928639317941971,-0.021600933273645984,0.0,0.0,300
MZI_null,MZI,MZI_null_00217,-0.18766703645779545,0.7720810576207029,-1.554706409328967,0.0,0.0,300
MZI_null,MZI,MZI_null_00218,-0.07840845307785592,1.1470276775106676,-3.113031071628278,0.0,0.0,300
MZI_null,MZI,MZI_null_00219,-0.21126919445453393,-6.669887520571711,0.8180298540369189,0.0,0.0,300
MZI_null,MZI,MZI_null_00220,-0.19206440287444246,3.2643825459530937,-7.245788223651166,0.0,0.0,300
MZI_null,MZI,MZI_null_00221,0.2544684552435057,-1.3669475983921449,-1.2901393356111772,0.0,0.0,300
MZI_null,MZI,MZI_null_00222,-0.08173786302134246,-0.8025916569437874,-1.1129041072745451,0.0,0.0,300
MZI_null,MZI,MZI_null_00223,0.1654952823024782,-1.657317054013881,-0.5490947156143672,0.0,0.0,300
MZI_null,MZI,MZI_null_00224,-0.05454183183207838,-2.1708368711632025,-0.0765946933238224,0.0,0.0,300
MZI_null,MZI,MZI_null_00225,-0.2565252588984938,-6.044556266317139,1.229792282068145,0.0,0.0,300
MZI_null,MZI,MZI_null_00226,0.02562981571919128,-2.5519500090580376,-0.9446982008038205,0.0,0.0,300
MZI_null,MZI,MZI_null_00227,0.05213725580425065,-3.6192790409280846,-3.334914176206938,0.0,0.0,300
MZI_null,MZI,MZI_null_00228,0.02937678826465223,-4.9351183328450965,0.2247582671434154,0.0,0.0,300
MZI_null,MZI,MZI_null_00229,-0.25538754063567604,1.087466911976931,0.417792447239129,0.0,0.0,300
MZI_null,MZI,MZI_null_00230,0.03840446014708135,0.9480729518365418,3.99642333338773,0.0,0.0,300
MZI_null,MZI,MZI_null_00231,0.15215550975271955,-7.522622693994936,-4.838730900207104,0.0,0.0,300
MZI_null,MZI,MZI_null_00232,-0.09372278665435183,-1.9217268493674986,0.5529770614073692,0.0,0.0,300
MZI_null,MZI,MZI_null_00233,-0.10886157197301984,-1.439699706568765,-3.2661487970599676,0.0,0.0,300
